City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Ushuaia,AR,-54.8,-68.3,37.4,69,20,3.36,few clouds,0.0,0.0
1,Georgetown,MY,5.41,100.34,80.6,88,40,4.7,scattered clouds,0.0,0.0
2,Palmas Bellas,PA,9.23,-80.09,86.0,70,69,11.99,light rain,0.52,0.0
3,Ahipara,NZ,-35.17,173.17,50.52,79,65,2.01,broken clouds,0.0,0.0
4,Constitucion,CL,-35.33,-72.42,53.76,64,83,4.94,broken clouds,0.0,0.0
5,Mount Gambier,AU,-37.83,140.77,42.8,93,90,9.17,overcast clouds,0.0,0.0
6,Ojinaga,MX,29.57,-104.42,104.0,17,1,4.7,clear sky,0.0,0.0
7,Iqaluit,CA,63.75,-68.51,46.4,81,20,12.75,few clouds,0.0,0.0
8,Port Elizabeth,ZA,-33.92,25.57,60.8,77,33,16.11,scattered clouds,0.0,0.0
9,Kruisfontein,ZA,-34.0,24.73,55.4,85,64,8.66,broken clouds,0.0,0.0
10,Punta Arenas,CL,-53.15,-70.92,33.8,80,97,19.46,overcast clouds,0.0,0.0
11,Bredasdorp,ZA,-34.53,20.04,53.6,93,100,10.29,light rain,0.97,0.0
12,Impfondo,CG,1.64,18.07,78.98,66,100,0.58,overcast clouds,0.0,0.0
13,Thompson,CA,55.74,-97.86,66.2,77,75,12.75,broken clouds,0.0,0.0
14,Rikitea,PF,-23.12,-134.97,68.0,65,15,18.25,few clouds,0.0,0.0
15,Gillette,US,44.29,-105.5,81.0,36,20,5.82,few clouds,0.0,0.0
16,Pevek,RU,69.7,170.31,44.44,97,100,2.19,light rain,0.62,0.0
17,Cape Town,ZA,-33.93,18.42,55.0,100,75,10.29,moderate rain,2.29,0.0
18,Talnakh,RU,69.49,88.4,57.2,87,0,26.84,clear sky,0.0,0.0
19,Westport,US,41.14,-73.36,88.0,66,1,6.93,clear sky,0.0,0.0
