City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2020-07-08 14:30:13,-46.6,168.33,39.0,83,98,3.0
1,Jamestown,US,2020-07-08 14:28:12,42.1,-79.24,82.99,73,1,5.82
2,Busselton,AU,2020-07-08 14:30:05,-33.65,115.33,46.99,87,12,6.98
3,Broome,US,2020-07-08 14:31:57,42.25,-75.83,78.01,88,90,3.36
4,Visnes,NO,2020-07-08 14:30:05,59.36,5.22,57.2,62,40,17.22
5,Praia Da Vitoria,PT,2020-07-08 14:29:05,38.73,-27.07,71.6,83,75,8.52
6,Chiredzi,ZW,2020-07-08 14:30:37,-21.05,31.67,71.69,46,0,8.57
7,Severo-Kurilsk,RU,2020-07-08 14:30:08,50.68,156.12,48.4,92,100,14.85
8,Kavieng,PG,2020-07-08 14:30:07,-2.57,150.8,82.15,79,98,13.33
9,Bousso,TD,2020-07-08 14:31:57,10.48,16.71,94.91,36,39,2.73
10,Atuona,PF,2020-07-08 14:30:09,-9.8,-139.03,79.39,75,6,12.55
11,Upernavik,GL,2020-07-08 14:30:24,72.79,-56.15,43.81,65,24,8.52
12,Ponta Do Sol,PT,2020-07-08 14:30:12,32.67,-17.1,75.0,69,0,1.21
13,Mocuba,MZ,2020-07-08 14:31:58,-16.84,36.99,70.95,76,63,4.07
14,Palmares Do Sul,BR,2020-07-08 14:31:58,-30.26,-50.51,61.75,87,100,18.07
15,Touros,BR,2020-07-08 14:25:51,-5.2,-35.46,82.4,65,40,12.75
16,Beringovskiy,RU,2020-07-08 14:30:47,63.05,179.32,50.95,75,1,10.8
17,Mataura,NZ,2020-07-08 14:30:10,-46.19,168.86,39.0,83,98,3.0
18,Punta Arenas,CL,2020-07-08 14:28:40,-53.15,-70.92,26.6,92,40,2.24
19,Tiksi,RU,2020-07-08 14:30:32,71.69,128.87,33.76,96,100,4.14
20,Hermanus,ZA,2020-07-08 14:30:14,-34.42,19.23,66.0,60,8,1.01
21,Nome,US,2020-07-08 14:31:58,64.5,-165.41,46.99,100,90,0.63
22,Tuktoyaktuk,CA,2020-07-08 14:30:20,69.45,-133.04,35.6,100,90,8.05
23,Tasiilaq,GL,2020-07-08 14:30:22,65.61,-37.64,44.6,70,40,14.99
24,Dikson,RU,2020-07-08 14:30:08,73.51,80.55,45.77,77,24,13.15
25,Maceio,BR,2020-07-08 14:31:01,-9.67,-35.74,78.8,78,75,8.05
26,Mar Del Plata,AR,2020-07-08 14:27:53,-38.0,-57.56,46.99,87,100,5.53
27,Flinders,AU,2020-07-08 14:31:59,-34.58,150.86,53.01,84,10,1.01
28,Moncton,CA,2020-07-08 14:31:55,46.12,-64.8,64.4,68,90,14.99
29,San Giustino,IT,2020-07-08 14:31:59,43.55,12.17,84.99,34,0,4.7
30,Buta,CD,2020-07-08 14:31:59,2.79,24.73,85.86,57,75,3.74
31,Atikokan,CA,2020-07-08 14:31:59,48.76,-91.62,78.6,46,100,11.61
32,East London,ZA,2020-07-08 14:30:13,-33.02,27.91,68.0,64,0,16.11
33,Batagay,RU,2020-07-08 14:31:59,67.63,134.63,44.94,94,100,2.8
